record_id,acceptability_approval,acceptability_appealing,acceptability_like,acceptability_welcome,appropriateness_fitting,appropriateness_suitable,appropriateness_applicable,appropriateness_goodmatch,implement_v2_v2,possible_v2_v2,doable_v2_v2,easy_v2_v2,
1,4,4,4,5,5,5,5,5,4,4,4,4,,2,
2,5,5,5,5,5,5,5,5,5,5,5,5,,2,
3,4,4,4,4,4,4,4,4,4,4,4,4,,2,
4,5,5,5,5,5,5,5,5,5,5,5,5,,2,
5,3,4,3,3,4,4,3,3,3,4,4,4,,2,
6,4,4,4,4,4,4,4,4,4,4,4,4,,2,
7,4,4,4,4,4,4,4,4,4,4,4,4,,2,
8,4,5,4,4,5,4,4,4,5,5,5,5,,2,
9,4,4,4,4,4,4,4,4,4,4,4,4,,2,
10,4,4,4,4,4,4,4,4,4,4,4,4,,2,
11,3,5,4,5,4,4,4,4,4,4,4,3,,2,
12,4,4,4,5,5,5,4,4,4,4,4,4,,2,
13,4,4,4,4,4,4,4,4,4,2,4,4,,2,
14,4,5,5,5,5,5,5,5,4,4,4,4,,2,
